原文件名,生成的文件名
13-10（磨难） - 幻境迁流.json,tough_13-08_塞雷娅+艾雅法拉+煌+刻俄柏.json
13-10（磨难） 萧然攻略.json,tough_13-08_艾雅法拉+纯烬艾雅法拉+棘刺+煌+山.json
13-11（磨难） - 小镇翳云.json,tough_13-09_煌+塞雷娅+艾雅法拉+伊芙利特+闪灵+能天使+德克萨斯.json
13-11（磨难） 萧然攻略.json,tough_13-09_艾雅法拉+纯烬艾雅法拉+煌+澄闪+桃金娘+山+能天使+伊芙利特.json
13-11（磨难） 萧然攻略（替换空弦 小刻）（解决漏怪问题）.json,tough_13-09_艾雅法拉+纯烬艾雅法拉+煌+桃金娘+山+伊芙利特+德克萨斯.json
13-12（磨难） - 破碎温室.json,tough_13-10_煌+艾雅法拉+莫斯提马+浊心斯卡蒂+泥岩+德克萨斯.json
13-12（磨难） 萧然攻略.json,tough_13-10_艾雅法拉+纯烬艾雅法拉+煌+伊芙利特+塞雷娅.json
13-13（磨难） - 骸骨之中.json,tough_13-11_伊芙利特+艾雅法拉+能天使+刻俄柏.json
13-13（磨难） 萧然攻略.json,tough_13-11_艾雅法拉+纯烬艾雅法拉+煌+澄闪+塞雷娅+山.json
13-14（磨难） - 猩红烟火.json,tough_13-12_艾雅法拉+能天使+号角.json
13-14（磨难） 萧然攻略.json,tough_13-12_艾雅法拉+煌+澄闪+山+风笛+白面鸮.json
13-14（磨难） 萧然攻略（小刻替换澄闪）.json,tough_13-12_艾雅法拉+煌+山+风笛+白面鸮.json
13-15（磨难） - 短暂齐聚.json,tough_13-13_艾雅法拉+澄闪+闪灵+推进之王+塞雷娅+星熊+正义骑士号+浊心斯卡蒂+煌.json
13-15（磨难） 萧然攻略.json,tough_13-13_艾雅法拉+能天使+澄闪+桃金娘+德克萨斯+星熊+泥岩+纯烬艾雅法拉+伊芙利特.json
13-15（磨难） 萧然攻略（替换小刻、空弦）.json,tough_13-13_艾雅法拉+桃金娘+德克萨斯+星熊+泥岩+纯烬艾雅法拉+伊芙利特.json
13-16（磨难） - “我们”.json,tough_13-14_煌+艾雅法拉+水月+塞雷娅+桃金娘+伊芙利特.json
13-16（磨难） 萧然攻略.json,tough_13-14_煌+澄闪+桃金娘+伊芙利特+艾雅法拉+山.json
13-16（磨难） 萧然攻略（小刻替换澄闪）.json,tough_13-14_煌+桃金娘+伊芙利特+艾雅法拉+山.json
13-17（磨难） - 谁来倾诉.json,tough_13-15_水月+塞雷娅+艾雅法拉+刻俄柏+能天使+正义骑士号+巡林者.json
