原文件名,生成的文件名
LE-1_煌+推进之王.json,LE-1_煌+推进之王.json
LE-2_煌+推进之王+塞雷娅.json,LE-2_煌+推进之王+塞雷娅.json
LE-3_煌+塞雷娅.json,LE-3_煌+塞雷娅.json
LE-4_煌+推进之王+塞雷娅.json,LE-4_煌+推进之王+塞雷娅.json
LE-5_夜莺+煌+银灰.json,LE-5_夜莺+煌+银灰.json
LE-5_棘刺+夜莺+塞雷娅.json,LE-5_棘刺+夜莺+塞雷娅.json
LE-5_棘刺+夜莺+煌.json,LE-5_棘刺+夜莺+煌.json
LE-6_令+能天使+史尔特尔堵门，刷信赖用.json,LE-6_令+能天使+史尔特尔.json
LE-6_凯尔希+山.json,LE-6_凯尔希+山.json
LE-6_夜莺+煌+银灰+艾雅法拉+推进之王.json,LE-6_夜莺+煌+银灰+艾雅法拉+推进之王.json
LE-6_棘刺+煌+夜莺+推进之王.json,LE-6_棘刺+煌+夜莺+推进之王.json
LE-7_86秒堵门速杀-精校字幕.json,LE-7_凯尔希+风笛+假日威龙陈.json
LE-7_令单人堵门，刷信赖用.json,LE-7_令.json
LE-7_堵门优化版本速度略微降低可以稳定看录像.json,LE-7_凯尔希+风笛+假日威龙陈.json
LE-7_夜莺+塞雷娅+艾雅法拉+煌.json,LE-7_夜莺+塞雷娅+艾雅法拉+煌.json
LE-8_煌+银灰+艾雅法拉+夜莺+塞雷娅+白面鸮 (1).json,LE-8_煌+银灰+艾雅法拉+夜莺+塞雷娅+白面鸮.json
LE-8（带镀层）_山+棘刺+白面鸮+流明+假日威龙陈+桃金娘+塞雷娅.json,命运_山+棘刺+白面鸮+流明+假日威龙陈+桃金娘+塞雷娅.json
LE-8（带镀层）_老鲤+山+棘刺+流明.json,LE-8_老鲤+山+棘刺+流明.json
LE-8（带镀层，塞雷娅技能忘写了，带1）_山+棘刺+白面鸮+流明+假日威龙陈+桃金娘+塞雷娅.json,命运_山+棘刺+白面鸮+流明+假日威龙陈+桃金娘+塞雷娅.json
LE-EX-1（高练度要求警告）_伊芙利特+凯尔希+风笛.json,单声部音乐_伊芙利特+凯尔希+风笛.json
LE-EX-2（高练度要求警告）_艾雅法拉+煌+伊芙利特+闪灵+塞雷娅+桃金娘+狮蝎(1).json,LE-EX-2_艾雅法拉+煌+伊芙利特+闪灵+塞雷娅+桃金娘+虫虫.json
LE-EX-2（高练度要求警告）_艾雅法拉+煌+伊芙利特+闪灵+塞雷娅+桃金娘+狮蝎.json,LE-EX-2_艾雅法拉+煌+伊芙利特+闪灵+塞雷娅+桃金娘+虫虫.json
LE-EX-3（maa不会自动开棘刺技能！！！）（高练度要求警告）_山+棘刺+泥岩+斑点.json,LE-EX-3_山+棘刺+泥岩+斑点.json
LE-EX-3（拿章）（高练度要求警告）_艾雅法拉+煌+白面鸮+塞雷娅+德克萨斯+桃金娘+棘刺+.json,LE-EX-3_艾雅法拉+煌+白面鸮+塞雷娅+德克萨斯+桃金娘+棘刺+推进之王+夜莺.json
LE-EX-3（高练度要求警告）_泥岩+艾雅法拉+塞雷娅+拉普兰德+夜莺+棘刺.json,LE-EX-3_泥岩+艾雅法拉+塞雷娅+拉普兰德+夜莺+棘刺.json
LE-EX-4（高练度要求警告）_煌+塞雷娅+夜莺.json,LE-EX-4_煌+塞雷娅+夜莺.json
LE-EX-5（高练度要求警告）_煌+塞雷娅+山+泥岩.json,LE-EX-5_煌+塞雷娅+山+泥岩.json
LE-EX-5（高练度要求警告）_煌+塞雷娅+闪灵+老鲤.json,LE-EX-5_煌+塞雷娅+闪灵+老鲤.json
LE-EX-6（有改动）（高练度要求警告）_煌+塞雷娅+华法琳+山.json,LE-EX-6_煌+塞雷娅+华法琳+山.json
LE-EX-7（高练度要求警告）_煌+浊心斯卡蒂+山+艾雅法拉+塞雷娅+桃金娘+史尔特尔+夜莺+.json,LE-EX-7_煌+浊心斯卡蒂+山+艾雅法拉+塞雷娅+桃金娘+史尔特尔+夜莺+伊芙利特+风笛+闪灵.json
LE-EX-8（有改动）（高练度要求警告）_煌+山+伊芙利特+塞雷娅+夜莺+流明+闪灵+棘刺+老.json,LE-EX-8_煌+山+伊芙利特+塞雷娅+夜莺+流明+闪灵+棘刺+老鲤.json
LE-TR-1_.json,LE-TR-1_.json
LE-TR-2_有点问题.json,LE-TR-2_.json
【突袭_普通_蚀刻章】尘影余音 - LE-EX-3 - 三角铁.json,act18side_ex03_桃金娘+德克萨斯+风笛+拉普兰德+山+塞雷娅+艾雅法拉+夜莺+孑+Lancet-2.json
【突袭_普通_蚀刻章】尘影余音 - LE-EX-7 - 小步舞曲.json,act18side_ex07_桃金娘+风笛+山+煌+史尔特尔+塞雷娅+艾雅法拉+伊芙利特+闪灵+夜莺+浊心斯卡蒂.json
